Weight,Height,Target
66.17,185.21,19.2897130082737
71.27,168.91,24.9805239018621
73.17,179.83,22.6250106006375
81.74,171.76,27.707434267135
92.97,172.89,31.1023010076982
59.45,168.2,21.013901481894
54.98,164.61,20.2931745366946
65.95,177.1,21.0283059412642
68.68,179.1,21.4114545688255
67.68,169.16,23.6521236332469
73.89,167.15,26.4440362716968
54.19,165.41,19.8044897172681
84.01,171.51,28.5566748154117
66.54,163.07,25.0200720192728
75.58,166.09,27.3993657550302
53.16,177.34,16.9014163553718
73.39,165.62,26.7571083073057
66.92,181.99,20.2038397238103
81.74,169.15,28.5687979831281
69.07,172.99,23.0784849236717
66.68,166,24.1980832655879
76.8,180.25,23.6394011032605
63.42,173.01,21.1874489652699
79.34,169.53,27.6037739948115
59.37,174.02,19.6068681770477
64.57,162.7,24.3944125778099
75.23,181.49,22.8411158884363
82.51,183.22,24.5781130204823
82.41,167.07,29.5273159322106
58.48,154.98,24.3484018568241
62.72,173.99,20.7171114909584
74.65,173.55,24.7822258934672
70.21,170.81,24.0615582427211
79.28,164.36,29.3486733128546
67.25,163.74,25.0809738185598
84.82,165.42,30.9970516373451
71.67,173.46,23.8202596628381
71.65,164.67,26.4229808262332
75.7,169.55,26.3344678102445
78.74,161.29,30.2674422543652
59.81,167.93,21.2084220322326
62.66,183.11,18.6902489446964
76.5,169.84,26.5206304706525
72.57,170.41,24.9931569490222
71.52,168.66,25.1413419568733
65.55,168.48,23.0948382816118
79.9,167.14,28.602213258251
58.5,165.9,21.2538407912321
62.5,181.27,19.0200269014402
75.9,178.11,23.9230135482847
69.7,173.64,23.1152016615091
67.56,169.5,23.5178736327653
67.43,156.42,27.5563850829221
58.52,161.97,22.3083512225589
54.05,184.12,15.9429880848645
60.83,175.43,19.7670393652452
60.01,174.28,19.7550185830066
67.82,168.67,23.8390517108281
71.59,163.84,26.6711486483578
62.42,161.35,23.9750581963453
50.64,180.58,15.528983246021
65.45,153.42,27.8040209819347
77.49,178.44,24.3341277608421
66.05,175.99,21.3263895753158
57.75,185.42,16.7976453577181
76.46,160.13,29.8194308959287
70.06,168.95,24.5456471163539
