Date,Open,High,Low,Close,Volume,Delta,DeltaDelta,,Delta 20,DD 20,Delta 19,DD 19,Delta 18,DD 18,Delta 17,DD 17,Delta 16,DD 16,Delta 15,DD 15,Delta 14,DD 14,Delta 13,DD 13,Delta 12,DD 12,Delta 11,DD 11,Delta 10,DD 10,Delta 9,DD 9,Delta 8,DD 8,Delta 7,DD 7,Delta 6,DD 6,Delta 5,DD 5,Delta 4,DD 4,Delta 3,DD 3,Delta 2,DD 2,Delta 1,DD 1,Trend
05.05.2003 04:00:00.000 GMT+0700,1.12284,1.13009,1.12014,1.12774,1274222.4044,0.0048999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
06.05.2003 04:00:00.000 GMT+0700,1.12728,1.14506,1.12723,1.14338,1279672.4785,0.0161,0.0112000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048999999999999,,1
07.05.2003 04:00:00.000 GMT+0700,1.14297,1.14438,1.13265,1.13647,1278008.6017,-0.00649999999999995,-0.0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048999999999999,,0.0161,0.0112000000000001,-1
08.05.2003 04:00:00.000 GMT+0700,1.13605,1.15077,1.13006,1.14996,1265182.6037,0.0139100000000001,0.02041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,1
09.05.2003 04:00:00.000 GMT+0700,1.14932,1.15366,1.14346,1.14877,1272916.5098,-0.000549999999999828,-0.0144599999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-1
12.05.2003 04:00:00.000 GMT+0700,1.14888,1.16229,1.14888,1.15427,1270388.3887,0.00539000000000001,0.00593999999999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,1
13.05.2003 04:00:00.000 GMT+0700,1.15357,1.15739,1.1462,1.1512,1263821.0098,-0.00236999999999998,-0.00775999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-1
14.05.2003 04:00:00.000 GMT+0700,1.1512,1.1537,1.14667,1.1494,1277471.5938,-0.00180000000000002,0.000569999999999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-1
15.05.2003 04:00:00.000 GMT+0700,1.14913,1.14967,1.13744,1.13847,1275857.416,-0.0106599999999999,-0.00885999999999987,,,,,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-1
16.05.2003 04:00:00.000 GMT+0700,1.13775,1.15766,1.13675,1.15705,1274033.5977,0.0192999999999999,0.0299599999999998,,,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,1
