ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2021,จันทบุรี,"402,357",33%,"219,340","1,834.40"
2021,ชุมพร,"343,900",28%,"207,376","1,658.34"
2021,ระยอง,"120,080",10%,"68,555","1,751.59"
2021,นครศรีธรรมราช,"59,738",5%,"57,695","1,035.41"
2021,ตราด,"56,844",5%,"32,053","1,773.44"
2021,ยะลา,"56,695",5%,"55,872","1,014.73"
2021,สุราษฎร์ธานี,"46,957",4%,"46,489","1,010.07"
2021,ระนอง,"29,257",2%,"32,018",913.77
2021,อุตรดิตถ์,"27,334",2%,"39,549",691.14
2021,นราธิวาส,"13,577",1%,"24,861",546.12
2021,ประจวบคีรีขันธ์,"13,460",1%,"10,052","1,339.04"
2021,สงขลา,"13,437",1%,"15,879",846.21
2021,ศรีสะเกษ,"4,739",0%,"3,542","1,337.94"
2021,สุโขทัย,"4,658",0%,"10,433",446.47
2021,ปัตตานี,"4,447",0%,"5,766",771.25
2021,พังงา,"2,856",0%,"6,504",439.11
2021,ปราจีนบุรี,"2,733",0%,"2,190","1,247.95"
2021,พัทลุง,"1,836",0%,"3,651",502.88
2021,กาญจนบุรี,"1,480",0%,"2,433",608.3
2021,กระบี่,"1,299",0%,"3,269",397.37
2021,ตรัง,"1,005",0%,"1,806",556.48
2021,เพชรบูรณ์,931,0%,"1,521",612.1
2021,เพชรบุรี,913,0%,"2,418",377.58
2021,สตูล,866,0%,"1,611",537.55
2021,นครราชสีมา,814,0%,"1,653",492.44
2021,ภูเก็ต,724,0%,"2,479",292.05
2021,นครนายก,672,0%,722,930.75
2021,ชัยภูมิ,592,0%,"1,148",515.68
2021,พิษณุโลก,587,0%,"1,131",519.01
2021,ราชบุรี,534,0%,783,681.99
2021,อุบลราชธานี,437,0%,586,745.73
2021,ชลบุรี,421,0%,338,"1,245.56"
2021,บุรีรัมย์,361,0%,594,607.74
2021,อุทัยธานี,359,0%,551,651.54
2021,กำแพงเพชร,259,0%,700,370
2021,แพร่,185,0%,600,308.33
2021,เชียงใหม่,137,0%,456,300.44
2021,สระบุรี,74,0%,200,370
2021,สุรินทร์,67,0%,142,471.83
2021,เชียงราย,43,0%,176,244.32
2021,นนทบุรี,16,0%,287,55.75
2021,ลพบุรี,9,0%,40,225
2021,สุพรรณบุรี,7,0%,125,56
2021,กาฬสินธุ์,3,0%,7,428.57
