Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,3,10,?????????????,36,22.1
2018,3,11,???????????,33.2,24.6
2018,3,13,????????,38.3,21.5
2018,3,14,???????????????,37,20
2018,3,16,??????,38.5,18.5
2018,3,18,??????,36.5,20.8
2018,3,20,??????,37,20
2018,3,21,?????,33.6,22
2018,3,22,????????,35.4,19.2
2018,3,23,????,34.3,22.2
2018,3,24,??????????,36,19.4
2018,3,25,??????????,36.8,20.6
2018,3,27,???????,37.5,20.1
2018,3,30,??????????,38.2,17.8
2018,3,31,?????????,38,16.4
2018,3,32,????????,38,16.8
2018,3,33,????????,36,16.5
2018,3,34,???????????,37.1,16
2018,3,36,???????,38.6,19.8
2018,3,40,???????,38,16.5
2018,3,41,????????,38.1,15.6
2018,3,42,???,38.4,15.5
2018,3,43,???????,38.2,16.3
2018,3,44,?????????,38,17.7
2018,3,45,????????,36.6,17
2018,3,46,?????????,37.2,17.1
2018,3,47,??????,35.4,15.2
2018,3,48,??????,35.7,14.6
2018,3,49,????????,36.3,16.3
2018,3,50,?????????,37.5,12.4
2018,3,51,?????,39,17.4
2018,3,52,?????,39.9,17.8
2018,3,53,?????????,38.5,21.3
2018,3,54,????,38.1,19.5
2018,3,55,????,38,15.5
2018,3,56,?????,35.4,15.8
2018,3,57,????????,34.9,15.9
2018,3,58,??????????,38.8,14.1
2018,3,60,?????????,38.9,19.9
2018,3,62,?????????,37.5,20.5
2018,3,63,???,39.8,12.4
2018,3,64,???????,37.6,18.8
2018,3,65,????????,37,21.6
2018,3,66,??????,36.8,21.6
2018,3,67,?????????,38.7,18.6
2018,3,70,???????,37,20
2018,3,71,?????????,39.1,18.8
2018,3,72,??????????,37.8,21.2
2018,3,73,??????,37,21
2018,3,76,????????,36.4,22.2
2018,3,77,???????????????,37.7,18.3
2018,3,80,?????????????,37,20.5
2018,3,81,??????,38.7,18.3
2018,3,82,?????,33.8,22.2
2018,3,83,??????,37.4,21.5
2018,3,84,????????????,37.5,20.6
2018,3,85,?????,36,22.7
2018,3,86,?????,34.5,22
2018,3,90,?????,36.2,21
2018,3,91,????,37.3,21.7
2018,3,92,????,36.7,21.9
2018,3,93,??????,33.9,23.3
2018,3,94,???????,35.3,23
2018,3,95,????,36.6,22.2
2018,3,96,????????,33.5,20.5
2018,4,10,?????????????,37.3,22.5
2018,4,11,???????????,33.3,24
2018,4,13,????????,39.5,21.5
2018,4,14,???????????????,37.6,19.3
2018,4,16,??????,38.7,19
2018,4,18,??????,39,20.5
2018,4,20,??????,38.3,21
2018,4,21,?????,34.6,22.3
2018,4,22,????????,35.9,20.3
2018,4,23,????,34.3,21.2
2018,4,24,??????????,36.5,18.8
2018,4,25,??????????,37.9,20.1
2018,4,27,???????,38.3,20.5
2018,4,30,??????????,39.4,19.1
2018,4,31,?????????,39.3,17.9
2018,4,32,????????,39.2,19.1
2018,4,33,????????,40.3,18.1
2018,4,34,???????????,40.5,17.7
2018,4,36,???????,40.6,20
2018,4,40,???????,39.5,17.8
2018,4,41,????????,39.1,19.8
2018,4,42,???,39.7,17.5
2018,4,43,???????,41.2,19.4
2018,4,44,?????????,40.3,17.8
2018,4,45,????????,40,18.2
2018,4,46,?????????,38.9,18.1
2018,4,47,??????,39.5,17.7
2018,4,48,??????,38.9,18.4
2018,4,49,????????,39.6,18
2018,4,50,?????????,39.8,14.1
2018,4,51,?????,39.8,19.9
2018,4,52,?????,41.6,18.2
2018,4,53,?????????,39.5,21.2
2018,4,54,????,39.7,19.5
2018,4,55,????,39.2,15.9
2018,4,56,?????,37,16.5
2018,4,57,????????,36.5,16.2
2018,4,58,??????????,41.2,18.1
2018,4,60,?????????,40.3,20.6
2018,4,62,?????????,39.4,21.2
2018,4,63,???,41,14.5
2018,4,64,???????,40.5,21
2018,4,65,????????,39.3,21.6
2018,4,66,??????,38.5,21.8
2018,4,67,?????????,40.6,19.5
2018,4,70,???????,38.5,21.4
2018,4,71,?????????,41.3,20
2018,4,72,??????????,39.9,21.4
2018,4,73,??????,38.9,19.5
2018,4,76,????????,37.1,22.5
2018,4,77,???????????????,37.2,19.8
2018,4,80,?????????????,37.5,22.5
2018,4,81,??????,37.5,19.8
2018,4,82,?????,34.7,22.8
2018,4,83,??????,37.1,21.9
2018,4,84,????????????,36.9,22.3
2018,4,85,?????,35.8,23
2018,4,86,?????,35.5,22
2018,4,90,?????,36.3,22
